name	country	gender	birthdate	birthyear	competition_years	first	last	results
Vladimir DIBELOV	RUS	M	None	None	1975	1975	1975	FA Final,1,JM4x
Aleksandr MOROZOV	RUS	M	None	None	1975	1975	1975	FA Final,1,JM4x
Wolfgang PLOCKE	GER	M	None	None	1975;1974	1974	1975	FA Final,2,JM4x;FA Final,1,JM4x
Guido BAUMANN	SUI	M	None	None	1975	1975	1975	FA Final,4,JM4x
Jean-Marc BONNET	FRA	M	None	None	1975	1975	1975	FA Final,5,JM4x
Eric SALOU	FRA	M	None	None	1975	1975	1975	FA Final,5,JM4x
Marc WEISS	FRA	M	None	None	1975;1974	1974	1975	FA Final,5,JM4x;FB Final,1,JM4x
Gregorio EGEA ROMERO	ESP	M	None	None	1975	1975	1975	FA Final,6,JM4x
Jesus SANTODOMINGO GIL	ESP	M	None	None	1975	1975	1975	FA Final,6,JM4x
Claudio PROCOPIO	ITA	M	None	None	1975;1974	1974	1975	FB Final,1,JM4x;FA Final,5,JM4x
Enrico DI LUZIO	ITA	M	None	None	1975;1974	1974	1975	FB Final,1,JM4x;FA Final,5,JM4x
Henry MARSDEN	GBR	M	None	None	1975	1975	1975	FB Final,2,JM4x
Michael MARLOW	GBR	M	None	None	1975	1975	1975	FB Final,2,JM4x
George HAMMOND	GBR	M	None	None	1975;1974	1974	1975	FB Final,2,JM4x;FA Final,6,JM8+
Jonathan HILL	GBR	M	None	None	1975	1975	1975	FB Final,2,JM4x
Viktor BAZANT	CZE	M	None	None	1975;1974	1974	1975	FB Final,3,JM4x;FA Final,6,JM2x
Pavel DUROVEC	CZE	M	None	None	1975	1975	1975	FB Final,3,JM4x
Jaroslav BARES	CZE	M	None	None	1975	1975	1975	FB Final,3,JM4x
Petr BADOUCEK	CZE	M	None	None	1975	1975	1975	FB Final,3,JM4x
John WHELAN	USA	M	None	None	1975	1975	1975	FB Final,4,JM4x
Aloysius LAWN  IV	USA	M	None	None	1975	1975	1975	FB Final,4,JM4x
Gregory MURPHY	CAN	M	None	None	1975	1975	1975	FB Final,5,JM4x
Michael CRUSTOLO	CAN	M	None	None	1975	1975	1975	FB Final,5,JM4x
Charles LEDUC	CAN	M	None	None	1975	1975	1975	FB Final,5,JM4x
Robin ROBERTS	GBR	M	None	None	1975	1975	1975	FA Final,2,JM4-
Holger BUNZ	GER	M	None	None	1975	1975	1975	FA Final,3,JM4-
Achim KLINGE	GER	M	None	None	1975	1975	1975	FA Final,3,JM4-
Jan KAPTUROWSKI	POL	M	None	None	1975;1974	1974	1975	FA Final,4,JM4-;FA Final,6,JM4+
Walenty WALKOWSKI	POL	M	None	None	1975;1974	1974	1975	FA Final,4,JM4-;FA Final,3,JM4-
Marek KAMINSKI	POL	M	None	None	1975;1974	1974	1975	FA Final,4,JM4-;FA Final,3,JM4-
Jerzy BEDNARSKI	POL	M	None	None	1975;1974	1974	1975	FA Final,4,JM4-;FA Final,3,JM4-
Gino PELOSIO	ITA	M	None	None	1975	1975	1975	FA Final,5,JM4-
Claudio UNGARI	ITA	M	None	None	1975	1975	1975	FA Final,5,JM4-
Marco FERRI AULO	ITA	M	None	None	1975	1975	1975	FA Final,5,JM4-
