name	country	gender	birthdate	birthyear	competition_years	first	last	results
Chase COGGINS	USA	M	None	None	1975	1975	1975	FA Final,6,JM4-
Charles MURRAY	USA	M	None	None	1975;1974	1974	1975	FA Final,6,JM4-;FB Final,1,JM2+
Christopher DEMBERG	USA	M	None	None	1975;1974	1974	1975	FA Final,6,JM4-;FB Final,4,JM8+
Emily CAMERON	CAN	W	5 Dec 1982	1982	2014;2014;2014;2013;2013;2013;2011;2011;2010	2010	2014	FA Final,6,W4x;FA Final,2,W4x;FA Final,4,W4x;FA Final,2,W4x;FB Final,2,W2x;FA Final,5,W4x;FC Final,1,W2x;FD Final,1,W2x;FB Final,2,W4x
Marta SAPIA	ITA	W	12 Jul 1976	1976	None	None	NoneNone
Rolf EILERTSEN	NOR	M	None	None	1975;1974	1974	1975	FB Final,1,JM4-;FA Final,4,JM8+
Joergen HENRIKSEN	NOR	M	None	None	1975;1974	1974	1975	FB Final,1,JM4-;FA Final,4,JM8+
Tom MARTISEN	NOR	M	None	None	1975	1975	1975	FB Final,1,JM4-
Tore EILERTSEN	NOR	M	None	None	1975;1974	1974	1975	FB Final,1,JM4-;FA Final,4,JM8+
James EDWARD	CAN	M	None	None	1975	1975	1975	FB Final,2,JM4-
Didier LOLLI	FRA	M	None	None	1975	1975	1975	FB Final,3,JM4-
Franz SCHMOLINER	AUT	M	None	None	1975	1975	1975	FB Final,4,JM4-
Othmar KANDOLF	AUT	M	None	None	1975	1975	1975	FB Final,4,JM4-
Dietmar SCHWARZ	AUT	M	None	None	1975	1975	1975	FB Final,4,JM4-
Aldo MERELLO	CHI	M	None	None	1975	1975	1975	FB Final,5,JM4-
Giancarlo VALLEBUONA	CHI	M	None	None	1975	1975	1975	FB Final,5,JM4-
Michael HAEUSSER	GER	M	9 Feb 1957	1957	1975	1975	1975	FA Final,2,JM8+
Hans Christoph THIELEMANN	GER	M	None	None	1975	1975	1975	FA Final,2,JM8+
Paul BILLER	GER	M	None	None	1975	1975	1975	FA Final,2,JM8+
Michael SCHADOK	GER	M	None	None	1975	1975	1975	FA Final,2,JM8+
Gereon SCHURMANN	GER	M	None	None	None	None	NoneNone
Thomas PROFT	GER	M	None	None	1975	1975	1975	FA Final,2,JM8+
Stephan FREI	GER	M	None	None	1975;1974	1974	1975	FA Final,2,JM8+;FA Final,1,JM8+
Raimonde ERNSCHTEINS	RUS	M	None	None	1975	1975	1975	FA Final,3,JM8+
Andris PRIEDE	RUS	M	None	None	1975	1975	1975	FA Final,3,JM8+
Alexandr BOLSCHAKOV	RUS	M	None	None	1975	1975	1975	FA Final,3,JM8+
Uldis ROGULIS	RUS	M	None	None	1975	1975	1975	FA Final,3,JM8+
Victor SIMAKOV	RUS	M	None	None	1975	1975	1975	FA Final,3,JM8+
Aivars TSIRULIS	RUS	M	None	None	1975	1975	1975	FA Final,3,JM8+
Robert MACLACHLAN	CAN	M	None	None	1975	1975	1975	FA Final,4,JM8+
William STEWART	CAN	M	None	None	1975;1974	1974	1975	FA Final,4,JM8+;FB Final,3,JM4-
Christopher PORTER	CAN	M	None	None	1975;1974	1974	1975	FA Final,4,JM8+;FB Final,3,JM4-
Edward BERKHOUT	CAN	M	None	None	1975	1975	1975	FA Final,4,JM8+
Keith GAINES	CAN	M	None	None	1975;1974	1974	1975	FA Final,4,JM8+;FA Final,6,JM2-
Jeffrey HOGAR	CAN	M	None	None	1975	1975	1975	FA Final,4,JM8+
John CLARKE	CAN	M	None	None	1975	1975	1975	FA Final,4,JM8+
Jean-Claude CHABAUD	FRA	M	None	None	1975	1975	1975	FA Final,5,JM8+
Phillippe BERRY	FRA	M	None	None	1975;1974	1974	1975	FA Final,5,JM8+;FA Final,2,JM4+
Thierry BAROT	FRA	M	None	None	1975	1975	1975	FA Final,5,JM8+
Eric VAN CAENEGHEM	FRA	M	None	None	1975;1974	1974	1975	FA Final,5,JM8+;FB Final,1,JM8+
Franck ROBERRINI	FRA	M	None	None	1975	1975	1975	FA Final,5,JM8+
Roberto GALAN ARIAS	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Ramon BERTRAN RUIZ	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Jose JAUREGUI ETCHEVARRIA	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
JAVIER FERREIRO GARCIA	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Jose MONTES ROMERO	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Antonio SREZ	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Antonio CARPION POLO	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Imanol URTIZBEREA IRAOLA	ESP	M	None	None	1975	1975	1975	FA Final,6,JM8+
Javier JUSCAFRESA	ESP	M	None	None	1980;1975	1975	1980	FA Final,6,JM4x;FA Final,6,JM8+
Livingston JOHNSON	USA	M	None	None	1975	1975	1975	FB Final,1,JM8+
Gerald ANDERSON	USA	M	None	None	1975	1975	1975	FB Final,1,JM8+
Donald ROY	USA	M	None	None	1975	1975	1975	FB Final,1,JM8+
Schuyler MOOREHOUSE	USA	M	None	None	1975	1975	1975	FB Final,1,JM8+
Georges DE RIJCK	BEL	M	None	None	1975;1974	1974	1975	FB Final,2,JM8+;FB Final,5,JM8+
Patrick DE DEYNE	BEL	M	None	None	1975;1974	1974	1975	FB Final,2,JM8+;FB Final,5,JM8+
Luc TIMMERMAN	BEL	M	None	None	1975	1975	1975	FB Final,2,JM8+
Rolf CLIERINCK	BEL	M	None	None	1975;1974	1974	1975	FB Final,2,JM8+;FB Final,5,JM8+
Daniel MAES	BEL	M	None	None	1975	1975	1975	FB Final,2,JM8+
Dirk CAERS	BEL	M	None	None	1975	1975	1975	FB Final,2,JM8+
Freddy MOERMAN	BEL	M	None	None	1975;1974	1974	1975	FB Final,2,JM8+;FB Final,5,JM8+
Dirk HEIRSTRAETEN	BEL	M	None	None	1975	1975	1975	FB Final,2,JM8+
Simon LAMBERT	GBR	M	None	None	1975	1975	1975	FB Final,3,JM8+
Gerrit LEMMENS	GBR	M	None	None	1975	1975	1975	FB Final,3,JM8+
Grant UPTON	GBR	M	None	None	1975	1975	1975	FB Final,3,JM8+
Gareth ROBERTS	GBR	M	None	None	1975	1975	1975	FB Final,3,JM8+
Andrea MARESCA	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Eugenio SPALLAZZI	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Luciano ALBERINI	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Gilberto SALI	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Claudio BOTTI	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Roberto MIMICA	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Marco MIGLIACCIO	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Antonello BOVE	ITA	M	None	None	1975	1975	1975	FB Final,4,JM8+
Frank BUTZ	GER	M	None	None	1975;1974	1974	1975	FA Final,1,JM2x;FA Final,2,JM2x
Andrei PLATONOV	RUS	M	None	None	1975	1975	1975	FA Final,2,JM2x
Alexandr FEDUN	RUS	M	None	None	1975	1975	1975	FA Final,2,JM2x
Thomas WEBER	GER	M	None	None	1975;1974	1974	1975	FA Final,3,JM2x;FA Final,3,JM1x
Gerd BRAMBRINCK	GER	M	None	None	1975	1975	1975	FA Final,3,JM2x
Drazen SUDIC	YUG	M	None	None	1975	1975	1975	FA Final,5,JM2x
Lars Ove HOLMBON	SWE	M	None	None	1975	1975	1975	FA Final,6,JM2x
Markus LEHMANN	SUI	M	None	None	1975	1975	1975	FB Final,1,JM2x
Arjan HOEK	NED	M	None	None	1975	1975	1975	FB Final,4,JM2x
Dick VAN DER VELDE	NED	M	None	None	1975	1975	1975	FB Final,4,JM2x
Arnejohan JENSEN	NOR	M	None	None	1975	1975	1975	FB Final,5,JM2x
Jan ASKVIK	NOR	M	None	None	1975	1975	1975	FB Final,5,JM2x
Paul LEULIER	BEL	M	None	None	1975;1974	1974	1975	FB Final,6,JM2x;FB Final,2,JM4x
Werner FOCHTMANN	GER	M	None	None	1975;1974	1974	1975	FA Final,1,JM2-;FA Final,1,JM8+
Guenter GOERGE	GER	M	None	None	1975;1974	1974	1975	FA Final,1,JM2-;FA Final,5,JM4+
Fedor DEREVYANKO	RUS	M	None	None	1975	1975	1975	FA Final,2,JM2-
John EVANS	CAN	M	None	None	1975	1975	1975	FA Final,3,JM2-
Clive SMITH	GBR	M	None	None	1975	1975	1975	FA Final,6,JM2-
jAMES LAWTHER	GBR	M	None	None	1975	1975	1975	FA Final,6,JM2-
Alessandro CIARI	ITA	M	None	None	1975	1975	1975	FB Final,1,JM2-
Thomas MOSER	SUI	M	None	None	1975	1975	1975	FB Final,2,JM2-
Waldemar IBRON	POL	M	None	None	1975	1975	1975	FB Final,3,JM2-
Aleksander NIEWEGLOWSKI	POL	M	None	None	1975	1975	1975	FB Final,3,JM2-
Jean-Luc VEILLE	FRA	M	None	None	1975	1975	1975	FB Final,5,JM2-
Detlef WUNSCH	GER	M	None	None	1974	1974	1974	FA Final,1,JM4x
Rudi BRANDT	GER	M	None	None	1974	1974	1974	FA Final,1,JM4x
Guenter KOWELSCHEK	GER	M	None	None	1974	1974	1974	FA Final,1,JM4x
Michael HAEUBER	GER	M	None	None	1974	1974	1974	FA Final,1,JM8+
Thomas HAEUSLER	GER	M	None	None	1974	1974	1974	FA Final,1,JM8+
Manfred ROSSMANN	GER	M	None	None	1974	1974	1974	FA Final,1,JM8+
Kai-Ulf GIESELER	GER	M	None	None	1974	1974	1974	FA Final,1,JM8+
Wolfgang DIETRICH	GER	M	None	None	1974	1974	1974	FA Final,1,JM2+
Hartmut WETTERLING	GER	M	None	None	1974	1974	1974	FA Final,1,JM2+
Hans-Holger KOENIG	GER	M	None	None	1974;1973	1973	1974	FA Final,1,JM2-;FA Final,1,JM2-
Hans-Werner DAMM	GER	M	None	None	1974;1973	1973	1974	FA Final,1,JM2-;FA Final,1,JM2-
Joachim BENDINGS	GER	M	None	None	1974	1974	1974	FA Final,1,JM4+
Ronald VETTER	GER	M	None	None	1974	1974	1974	FA Final,1,JM4-
Frank-Uwe SEELING	GER	M	None	None	1974	1974	1974	FA Final,1,JM4-
Hans WUEBBENHORST	GER	M	None	None	1974	1974	1974	FA Final,1,JM4-
Daniel MCBRIDE	NZL	M	27 May 1969	1969	2012;2011;2010	2010	2012	FB Final,1,ASM1x;FB Final,2,ASM1x;FA Final,3,ASM1x
Natalie DELL	USA	W	20 Feb 1985	1985	2012;2012;2011;2011;2010	2010	2012	FA Final,3,W4x;FA Final,3,W4x;FA Final,2,W4x;FA Final,4,W4x;FA Final,5,W4x
Stephen YOUNG JR.	USA	M	9 Jan 1987	1987	2014;2013;2013;2012;2010	2010	2014	FA Final,5,LM8+;F Final,4,M2+;FA Final,2,M8+;FA Final,6,M2+;F Final,5,LM8+
Ryan MONAGHAN	USA	M	7 Jun 1984	1984	2011;2010	2010	2011	FB Final,3,M4-;FB Final,3,M2-
Jennifer SICHEL	USA	W	9 Mar 1988	1988	2018;2017;2016;2015;2014;2013;2010	2010	2018	FA Final,2,PR3 Mix4+;FA Final,2,PR3 Mix4+;FA Final,2,LTAMix4+;FA Final,2,LTAMix4+;FA Final,2,LTAMix4+;F Final,4,LTAMix4+;FA Final,6,LTAMix4+
Penelope SMITH	NZL	W	18 Dec 1984	1984	None	None	NoneNone
Linda MATTHEWS	NZL	W	10 Nov 1990	1990	2013;2013;2013;2012;2011;2010	2010	2013	FB Final,1,W8+;FA Final,6,W8+;FA Final,5,W8+;FA Final,3,BW4x;F Final,2,BW8+;FA Final,6,W4x
Anne-Marie MC DAID	IRL	W	30 Nov 1964	1964	2012;2012;2011;2011;2010	2010	2012	FB Final,4,LTAMix4+;FB Final,1,LTAMix4+;FA Final,5,LTAMix4+;FA Final,5,LTAMix4+;FA Final,5,LTAMix4+
David BLAIR	CAN	M	15 Oct 1991	1991	2012;2012;2011;2010	2010	2012	FB Final,1,LTAMix4+;FA Final,6,LTAMix4+;FA Final,2,LTAMix4+;FA Final,1,LTAMix4+
Steven BUKATA	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Charles CRAWFORD	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Richard HEPPLER	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Peter RUDOLPH	USA	M	None	None	1969;1968	1968	1969	FA Final,4,JM2+;FA Final,3,JM8+
Charles BAXTER	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Thomas OWSTON	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Michael HARKINS	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Steve JONIK	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Michael CIPOLLONE	USA	M	None	None	1968	1968	1968	FA Final,3,JM8+
Isaac RIBEIRO	BRA	M	20 Mar 1984	1984	2012;2012;2010	2010	2012	FB Final,2,TAMix2x;FA Final,2,TAMix2x;F Final,4,TAMix2x
Katherine JONES	GBR	W	28 Feb 1986	1986	2011;2010	2010	2011	FA Final,3,LTAMix4+;FA Final,2,LTAMix4+
Eleni ENGLERT	USA	W	17 Feb 1994	1994	2012;2011;2010	2010	2012	FA Final,6,LTAMix4+;FA Final,6,LTAMix4+;FA Final,6,LTAMix4+
Michael COX  I	USA	M	None	None	1968	1968	1968	FA Final,6,JM4+
Thomas CLEVELAND	USA	M	None	None	1968	1968	1968	FA Final,6,JM4+
Charles BRADSHAW	USA	M	None	None	1969;1968	1968	1969	FA Final,3,JM8+;FA Final,6,JM4+
Keith HEREFORD	USA	M	None	None	1968	1968	1968	FA Final,6,JM4+
Charles FABIANO	USA	M	None	None	1968	1968	1968	FA Final,6,JM4+
Ephraim KING	USA	M	None	None	1968	1968	1968	FB Final,2,JM2-
Edward CERULLO	USA	M	None	None	1968	1968	1968	FA Final,6,JM2+
Julian HINDS	USA	M	None	None	1968	1968	1968	FA Final,6,JM2+
Ed MATUK	USA	M	None	None	1968	1968	1968	FA Final,6,JM2+
Ronald DE SOUSA BRITO	BRA	M	12 Dec 1983	1983	2013;2013;2010	2010	2013	FC Final,4,LM2x;FB Final,5,LM2x;FB Final,6,LM1x
A.J. MEDIOLI	USA	M	None	None	1969;1968	1968	1969	FA Final,5,JM1x;FA Final,1,JM2x
William BENNETT	USA	M	None	None	1968	1968	1968	FA Final,1,JM2x
Douglas DAIGLAR	USA	M	None	None	1968	1968	1968	FA Final,5,JM4-
William B. LAWLESS  III	USA	M	None	None	1968	1968	1968	FA Final,5,JM4-
Robert ADAMS	USA	M	None	None	1968	1968	1968	FA Final,5,JM4-
Douglas WHITE	USA	M	None	None	1968	1968	1968	FA Final,5,JM4-
Jack EDLING	USA	M	None	None	1969	1969	1969	FA Final,6,JM2x
Walter KONOPKA	USA	M	None	None	1969	1969	1969	FA Final,6,JM2x
Robert SNEEDEN	USA	M	None	None	1970	1970	1970	FA Final,4,JM1x
Robert HONCHARSKY	USA	M	None	None	1971;1970	1970	1971	FA Final,6,JM4+;FA Final,4,JM4+
Timothy PILOT	USA	M	None	None	1970	1970	1970	FA Final,4,JM4+
Martin FUSSELMAN	USA	M	None	None	1970	1970	1970	FA Final,4,JM4+
Thomas MCLAUGHLIN	USA	M	None	None	1970;1969	1969	1970	FA Final,4,JM4+;FA Final,4,JM2+
Philip LYMAN	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
Peter CASTLE	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
John BROCK	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
Jim BOAK	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
Alfie GARDNER	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
James THOMAS	USA	M	None	None	1971;1970	1970	1971	FB Final,2,JM8+;FA Final,4,JM8+
James WOODHOUSE	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
Donald K. FLAGG	USA	M	None	None	1970;1969	1969	1970	FA Final,4,JM8+;FA Final,4,JM4-
Thad BENNETT	USA	M	None	None	1970	1970	1970	FA Final,4,JM8+
? ZANGIROLAMI	ITA	M	None	None	1969	1969	1969	FB Final,1,JM1x
? KRUSIC	YUG	M	None	None	1969	1969	1969	FB Final,2,JM1x
? ABRAHAMSSON	SWE	M	None	None	1969	1969	1969	FB Final,3,JM1x
? GRANT	CAN	M	None	None	1969	1969	1969	FB Final,4,JM1x
Heinrich Otto STUEREMBERG	GER	M	None	None	1969	1969	1969	FA Final,1,JM1x
Wolfgang MUELLER	SUI	M	None	None	1970;1969	1969	1970	FB Final,1,JM1x;FA Final,2,JM1x
T.J. BENNETT	GBR	M	None	None	1969	1969	1969	FA Final,3,JM1x
Detlef HUEBNER	AUT	M	None	None	1969	1969	1969	FA Final,6,JM1x
Elio PALLARD	ITA	M	None	None	1969	1969	1969	FA Final,1,JM2x
Mirko PRODAN	YUG	M	None	None	1969	1969	1969	FA Final,2,JM2x
Beat ZOLLINGER	SUI	M	None	None	1970;1969	1969	1970	FB Final,3,JM2+;FA Final,3,JM2x
Gustav KOTIL	CZE	M	None	None	1969	1969	1969	FA Final,4,JM2x
Jaroslav LOUVAR	CZE	M	None	None	1969	1969	1969	FA Final,4,JM2x
Philippe LADET	FRA	M	None	None	1969	1969	1969	FA Final,5,JM2x
Michel STEPHAN	FRA	M	None	None	1969	1969	1969	FA Final,5,JM2x
Beat WITZIG	SUI	M	None	None	1969	1969	1969	FA Final,2,JM2-
Dragan MILOSEVIC	YUG	M	None	None	1969	1969	1969	FA Final,3,JM2-
Rolf VOLLAND	GER	M	None	None	1969	1969	1969	FA Final,4,JM2-
Raymond SCHIRA	GER	M	None	None	1969	1969	1969	FA Final,4,JM2-
Jie LI	CHN	M	8 May 1986	1986	2014;2011;2011;2011;2010	2010	2014	FC Final,5,M4-;FB Final,5,M8+;FA Final,4,M8+;FB Final,2,M4-;FB Final,3,M4-
Bing ZHENG	CHN	M	5 Dec 1982	1982	2011;2011;2011;2010	2010	2011	FC Final,5,M4-;FB Final,5,M4-;FB Final,2,M4-;FB Final,3,M4-
Remigio ROSSETTI	ITA	M	None	None	1969	1969	1969	FA Final,5,JM2-
Wei KANG	CHN	M	18 Nov 1988	1988	2012;2011;2011;2010	2010	2012	FA Final,5,M2x;FD Final,2,M2x;FC Final,3,M4x;FB Final,3,M4x
Jan VIDAR FRIVOLD	NOR	M	None	None	1969	1969	1969	FA Final,6,JM2-
Ivar DANIELSEN	NOR	M	None	None	1969	1969	1969	FA Final,6,JM2-
L. BLOM	NED	M	None	None	1969	1969	1969	FA Final,1,JM2+
P.C. NIJMAN	NED	M	None	None	1969	1969	1969	FA Final,1,JM2+
A. VAN WEES	NED	M	None	None	1969	1969	1969	FA Final,1,JM2+
Zbigniew DOMACHOWSKI	POL	M	None	None	1969	1969	1969	FA Final,2,JM2+
Frantisek MARTINEK	CZE	M	None	None	1969	1969	1969	FA Final,3,JM2+
Stanislav KREJZA	CZE	M	None	None	1969	1969	1969	FA Final,3,JM2+
T. CORDES	USA	M	None	None	1969	1969	1969	FA Final,4,JM2+
Christian HUBER	SUI	M	None	None	1969	1969	1969	FA Final,5,JM2+
Walter HELFENSTEIN	SUI	M	None	None	1969	1969	1969	FA Final,5,JM2+
Renato WEISSBAUM	SUI	M	None	None	1969	1969	1969	FA Final,5,JM2+
Josip SUTIC	YUG	M	None	None	1969	1969	1969	FA Final,6,JM2+
Vladimir KRIZEK	YUG	M	None	None	1969	1969	1969	FA Final,6,JM2+
Vlado MATKOVIC	YUG	M	None	None	1969	1969	1969	FA Final,6,JM2+
Klaus JAENICKE	GER	M	None	None	1969	1969	1969	FA Final,1,JM4-
Wolfgang HEIKEL	GER	M	None	None	1969	1969	1969	FA Final,1,JM4-
N.D.P. STRAKER	GBR	M	None	None	1969	1969	1969	FA Final,2,JM4-
D.A.R. HILL	GBR	M	None	None	1969	1969	1969	FA Final,2,JM4-
J. MOORES	GBR	M	None	None	1969	1969	1969	FA Final,2,JM4-
Thomas HOSTETTLER	SUI	M	None	None	1969	1969	1969	FA Final,3,JM4-
Andreas SUTTER	SUI	M	None	None	1969	1969	1969	FA Final,3,JM4-
Christoph AMMON	SUI	M	None	None	1969	1969	1969	FA Final,3,JM4-
P.R. PARKER	USA	M	None	None	1969	1969	1969	FA Final,4,JM4-
L.E. RINAULDINI	USA	M	None	None	1969	1969	1969	FA Final,4,JM4-
Poris DOLENEC	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4-
Mladen SOVIC	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4-
Bozo CULO	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4-
Marjan SLIJEPCEVIC	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4-
Fritz KUTMEN	AUT	M	None	None	1969	1969	1969	FA Final,6,JM4-
Burghard RUMPF	AUT	M	None	None	1969	1969	1969	FA Final,6,JM4-
Walter METZ	AUT	M	None	None	1969	1969	1969	FA Final,6,JM4-
Hans GEISZLER	AUT	M	None	None	1969	1969	1969	FA Final,6,JM4-
Helmut HUELSEN	GER	M	None	None	1969	1969	1969	FA Final,1,JM4+
Udo HOLLAND-LETZ	GER	M	None	None	1969	1969	1969	FA Final,1,JM4+
Joerg VAN DER FELDEN	GER	M	None	None	1969	1969	1969	FA Final,1,JM4+
Rainer HEYER	GER	M	None	None	1969	1969	1969	FA Final,1,JM4+
Klaus BECKER	GER	M	None	None	1969	1969	1969	FA Final,1,JM4+
Poul HANSEN	DEN	M	None	None	1969	1969	1969	FA Final,2,JM4+
Steen RASMUSSEN	DEN	M	None	None	1969	1969	1969	FA Final,2,JM4+
Carsten ERIKSHOJ	DEN	M	None	None	1969	1969	1969	FA Final,2,JM4+
Niels HOLMKVIST	DEN	M	None	None	1969	1969	1969	FA Final,2,JM4+
Hans IBSEN	DEN	M	None	None	1969	1969	1969	FA Final,2,JM4+
Lech DRULA	POL	M	None	None	1969	1969	1969	FA Final,3,JM4+
Bogdan TERELIS	POL	M	None	None	1969	1969	1969	FA Final,3,JM4+
Marek GORZENSKI	POL	M	None	None	1969	1969	1969	FA Final,3,JM4+
Karel PLESKOT	CZE	M	None	None	1969	1969	1969	FA Final,4,JM4+
Nikola GEISLER	CZE	M	None	None	1969	1969	1969	FA Final,4,JM4+
Karel HAMACEK	CZE	M	None	None	1969	1969	1969	FA Final,4,JM4+
Jan BREJCHA	CZE	M	None	None	1969	1969	1969	FA Final,4,JM4+
Pasko GOTOVAC	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4+
Ivo JAKOVLJEVIC	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4+
Damir BARBACA	YUG	M	None	None	1969	1969	1969	FA Final,5,JM4+
R.J. HURST	USA	M	None	None	1969	1969	1969	FA Final,6,JM4+
R.A. KEITH	USA	M	None	None	1969	1969	1969	FA Final,6,JM4+
F.A. BEUKENKAMP	USA	M	None	None	1969	1969	1969	FA Final,6,JM4+
T. ARTHURS	USA	M	None	None	1969	1969	1969	FA Final,6,JM4+
T.M. STRONG	USA	M	None	None	1969	1969	1969	FA Final,6,JM4+
Jaromir HUDEK	CZE	M	None	None	1969	1969	1969	FA Final,1,JM8+
Zdenek KUNHART	CZE	M	None	None	1969	1969	1969	FA Final,1,JM8+
Josef KOVACIK	CZE	M	None	None	1969	1969	1969	FA Final,1,JM8+
Milan VECERA	CZE	M	None	None	1969	1969	1969	FA Final,1,JM8+
Herbert ZOTTI	AUT	M	None	None	1969	1969	1969	FA Final,2,JM8+
George RIHA	AUT	M	None	None	1969	1969	1969	FA Final,2,JM8+
Franz STAUNER	AUT	M	None	None	1969	1969	1969	FA Final,2,JM8+
Hans WERTH	AUT	M	None	None	1969	1969	1969	FA Final,2,JM8+
Peter POMPER	AUT	M	None	None	1969	1969	1969	FA Final,2,JM8+
Traugott WOLFDIERER	AUT	M	None	None	1969	1969	1969	FA Final,2,JM8+
J. WILSON	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
J. LEGGET	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
M. MCDERMOTT	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
D. MELSON	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
J.L. ROUNDS	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
N.M. GIFFORD	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
J. SNYDER	USA	M	None	None	1969	1969	1969	FA Final,3,JM8+
