name	country	gender	birthdate	birthyear	competition_years	first	last	results
Luca D'ALTILIA	ITA	M	7 Jan 1986	1986	2008;2004;2003	2003	2008	FB Final,5,BM8+;FB Final,3,JM8+;FA Final,4,JM8+
Daniele DANESIN	ITA	M	7 Dec 1985	1985	2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2010;2009;2008;2008;2008;2007;2007;2007;2007;2006;2006;2006;2005;2005;2005;2004;2003	2003	2012	FA Final,4,LM4x;FB Final,6,LM4-;FB Final,1,LM4-;FB Final,6,LM4-;FA Final,1,LM4-;FA Final,2,LM4-;FA Final,2,LM4-;FA Final,6,LM4-;FA Final,6,LM4-;FA Final,4,LM4-;FA Final,3,LM4-;FA Final,3,LM4-;FA Final,2,LM8+;FA Final,1,LM4x;FB Final,1,LM4-;FC Final,2,LM2x;FA Final,1,LM4x;FA Final,1,BLM4x;FA Final,1,LM4x;FA Final,5,LM4-;FA Final,1,LM4x;FA Final,2,BLM2x;FA Final,1,LM4x;FA Final,1,LM8+;FA Final,1,LM8+;FA Final,3,LM4x;FA Final,3,BLM4x;FA Final,8,JM4x
Lara DE STEFANO	ITA	W	28 Oct 1985	1985	2005;2005;2005;2004;2003	2003	2005	FB Final,4,BLW1x;FB Final,4,LW1x;FB Final,2,LW1x;FB Final,5,BW4-;FA Final,2,JW2x
Andrea DE CORO	ITA	M	18 Jul 1986	1986	2008;2005;2004;2003	2003	2008	FB Final,5,BM8+;FA Final,2,BM4+;F Final,2,JM2+;FA Final,4,JM8+
Flavio DI VIETRO	ITA	M	27 Sep 1987	1987	2003	2003	2003	FA Final,3,JM2+
Elena DRAGOTTO	ITA	W	11 Aug 1986	1986	2004;2003	2003	2004	R Repechage,0,JW4-;FB Final,4,JW2-
Raffaella FORMISANO	ITA	W	25 Dec 1985	1985	2004;2003	2003	2004	FB Final,5,BW4-;FA Final,1,JW4-
Martino GORETTI	ITA	M	27 Sep 1985	1985	2018;2018;2018;2017;2017;2017;2016;2016;2016;2015;2015;2015;2014;2014;2014;2013;2013;2012;2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2010;2009;2009;2009;2008;2007;2007;2006;2006;2006;2005;2005;2005;2005;2004;2003	2003	2018	FB Final,1,LM1x;FA Final,2,LM1x;FA Final,3,LM1x;FA Final,4,LM4x;FA Final,1,LM4x;FA Final,2,LM4-;FA Final,4,LM4-;FA Final,6,LM4-;FB Final,6,LM4-;FA Final,6,LM4-;FA Final,5,LM4-;FB Final,1,LM4-;FB Final,6,LM4-;FA Final,6,LM4-;FB Final,4,LM4-;FA Final,2,LM2-;FA Final,4,LM4-;FA Final,1,LM4-;FA Final,2,LM8+;FB Final,6,LM4-;FB Final,1,LM4-;FB Final,6,LM4-;FA Final,1,LM4-;FA Final,2,LM4-;FA Final,2,LM4-;FA Final,6,LM4-;FA Final,6,LM4-;FA Final,4,LM4-;FA Final,3,LM4-;FA Final,3,LM4-;FA Final,1,LM8+;FA Final,2,LM8+;FA Final,4,LM4-;FA Final,1,LM8+;FA Final,5,BLM4-;FA Final,2,LM8+;FA Final,1,LM8+;FA Final,1,BLM4-;FA Final,1,LM8+;FA Final,1,LM8+;FA Final,3,BLM4-;FA Final,1,LM8+;FB Final,4,LM4-;FA Final,2,BLM4-;FA Final,1,JM4-
Gianmarco GUGLIELMINO	ITA	M	31 Jul 1985	1985	2003	2003	2003	FA Final,4,JM8+
Jacopo LANNI	ITA	M	2 Oct 1988	1988	2004;2003	2003	2004	FA Final,5,JM4+;FA Final,2,JM4+
Veronica LISI	ITA	W	6 Oct 1987	1987	2003	2003	2003	FA Final,3,JW4x
Luca MARTIN	ITA	M	3 Jun 1986	1986	2005;2004;2003	2003	2005	FA Final,3,LM4x;FC Final,2,JM4-;FA Final,1,JM4-
Matteo MOTTA	ITA	M	2 Mar 1986	1986	2009;2009;2008;2007;2006;2006;2005;2004;2003	2003	2009	FB Final,4,M2-;FB Final,6,M2-;FA Final,2,BM4-;FB Final,5,BM8+;FA Final,6,M4+;FA Final,3,BM8+;FA Final,2,BM8+;FB Final,3,JM8+;FA Final,4,JM8+
Sandi PACE	ITA	M	27 Jun 1985	1985	2003	2003	2003	FA Final,2,JM4+
