name	country	gender	birthdate	birthyear	competition_years	first	last	results
Antonio PIZZURRO	ITA	M	28 May 1985	1985	2007;2006;2005;2003	2003	2007	FA Final,1,BLM4x;FA Final,5,BLM4x;FA Final,1,BLM4x;FB Final,3,JM2x
Vera POIATTI	ITA	W	24 Sep 1985	1985	2004;2003	2003	2004	FA Final,4,BW4x;FA Final,3,JW4x
Davide RICCARDI	ITA	M	18 Jul 1986	1986	2012;2011;2011;2010;2010;2010;2009;2009;2008;2007;2005;2004;2003	2003	2012	FA Final,2,LM8+;F Final,2,LM8+;FA Final,1,LM8+;F Final,3,LM8+;F Final,1,LM8+;F Final,1,LM8+;FA Final,1,LM8+;FA Final,2,LM8+;FA Final,1,BLM2x;FA Final,4,BLM2x;FA Final,3,BLM4-;F Final,2,JM2+;FA Final,4,JM8+
Nicolo ROMANELLI	ITA	M	3 Jun 1989	1989	2003	2003	2003	FA Final,4,JM8+
Matteo ROMANO	ITA	M	14 May 1986	1986	2004;2003	2003	2004	FB Final,5,JM4x;FA Final,5,JM1x
Denise TREMUL	ITA	W	27 Nov 1987	1987	2006;2005;2004;2003	2003	2006	R Repechage,5,BW4-;FA Final,1,JW4-;FB Final,2,JW8+;FB Final,4,JW2-
Kazuya HAMAKI	JPN	M	19 Jan 1986	1986	2007;2003	2003	2007	FC Final,2,BLM4-;FC Final,5,JM4x
Manami HAYASHI	JPN	W	30 Dec 1985	1985	2012;2012;2011;2011;2011;2010;2010;2005;2003	2003	2012	FC Final,5,LW1x;FB Final,5,LW1x;FD Final,6,LW2x;FD Final,4,LW2x;FC Final,5,LW2x;FB Final,5,LW2x;FA Final,6,LW1x;FC Final,3,LW1x;FB Final,4,JW4x
Ayako HORIBATA	JPN	W	19 Jul 1985	1985	2005;2005;2004;2003	2003	2005	FA Final,6,LW4x;FC Final,2,LW2x;FA Final,4,BLW2x;FB Final,4,JW4x
Sachie NASU	JPN	W	29 Dec 1985	1985	2003	2003	2003	FC Final,1,JW1x
Hiroki SAWA	JPN	M	29 Aug 1985	1985	2003	2003	2003	FC Final,5,JM4x
Soichi SUWA	JPN	M	18 Apr 1985	1985	2005;2003	2003	2005	FC Final,2,M4x;FC Final,4,JM1x
Yuki TAMAGAWA	JPN	W	26 May 1986	1986	2006;2006;2005;2004;2003	2003	2006	FC Final,3,LW2x;FB Final,1,BLW2x;FB Final,4,W2x;FC Final,2,JW1x;FB Final,4,JW4x
Hiroyuki UEDA	JPN	M	24 Jun 1985	1985	2003	2003	2003	FC Final,5,JM4x
Mikhail TASKIN	KAZ	M	27 Aug 1986	1986	2014;2009;2003	2003	2014	FD Final,2,M4x;FC Final,5,M2x;FC Final,3,JM2x
Dmitriy KOZLOV	KAZ	M	26 Oct 1986	1986	2003	2003	2003	FC Final,3,JM2x
Pavel PRIKHODKO	KAZ	M	3 Mar 1987	1987	2007;2003	2003	2007	FE Final,4,LM2x;FC Final,1,JM1x
Alexej TAPOLIA	KAZ	M	16 Jul 1985	1985	2003	2003	2003	FC Final,6,JM2-
Alexander TRIMASSOV	KAZ	M	29 Mar 1985	1985	2003	2003	2003	FC Final,6,JM2-
Andis BALODIS	LAT	M	1 Jul 1985	1985	2006;2005;2005;2004;2003	2003	2006	FB Final,4,BM4x;FB Final,5,BM2x;FB Final,3,M4x;FA Final,5,BM4x;FA Final,1,JM4x
Raivis BERZINS	LAT	M	1 May 1985	1985	2005;2005;2004;2003	2003	2005	FB Final,1,BM4x;FB Final,3,M4x;FA Final,5,BM4x;FA Final,1,JM4x
Janis RIMSA	LAT	M	5 Sep 1985	1985	2006;2005;2004;2003	2003	2006	FB Final,4,BM4x;FB Final,1,BM4x;FA Final,5,BM4x;FA Final,1,JM4x
Dmitrijs ZURAVLOVS	LAT	M	25 Sep 1985	1985	2005;2004;2003	2003	2005	FB Final,5,BM2x;FA Final,5,BM4x;FA Final,1,JM4x
Gabriele ALBERTAVICIUTE	LTU	W	3 Aug 1985	1985	2011;2011;2011;2010;2010;2009;2009;2008;2007;2007;2007;2005;2004;2003	2003	2011	SC/D 1 Semifinal,4,W2x;FC Final,6,W2x;FB Final,1,W2x;FB Final,3,W2x;FB Final,2,W2x;FB Final,2,W2x;FC Final,1,W2x;FA Final,6,W4x;FA Final,6,W2-;FB Final,6,W4x;FB Final,2,BW2x;FB Final,5,BW1x;FB Final,5,BW2x;FB Final,3,JW1x
Jonas RINKAUSKAS	LTU	M	18 Nov 1985	1985	2005;2004;2003	2003	2005	FB Final,6,BM2-;SC/D 2 Semifinal,3,BM2-;FB Final,2,JM2-
Marius VAITIEKUS	LTU	M	26 May 1985	1985	2007;2006;2005;2004;2003	2003	2007	FB Final,4,BM2-;FB Final,5,BM2-;FB Final,6,BM2-;SC/D 2 Semifinal,3,BM2-;FB Final,2,JM2-
David GONZALEZ	MEX	M	18 Nov 1985	1985	2003	2003	2003	FB Final,8,JM2x
Leopoldo TEJADA RIOS	MEX	M	17 Nov 1986	1986	2015;2014;2014;2013;2013;2011;2007;2004;2003	2003	2015	FC Final,4,M2-;FC Final,4,M2-;FA Final,6,M2-;FC Final,4,M2-;FC Final,4,M2-;FB Final,4,M4-;FC Final,6,M2-;FD Final,3,JM1x;FB Final,7,JM1x
Marije VAN AMERSFOORT	NED	W	25 Jul 1986	1986	2008;2007;2007;2004;2003	2003	2008	FB Final,2,BW1x;FA Final,5,BW4x;FA Final,6,W4x;FB Final,1,JW2x;FA Final,5,JW4x
Olaf BARTELS	NED	M	31 Jan 1986	1986	2003	2003	2003	FB Final,3,JM4-
Jan-Jacob BLUSSE	NED	M	7 Sep 1985	1985	2003	2003	2003	FB Final,3,JM4-
Willemiek EVERTS	NED	W	5 Dec 1985	1985	2007;2007;2003	2003	2007	FA Final,5,BW4x;FA Final,6,W4x;FA Final,5,JW4x
Timothee HEIJBROCK	NED	M	28 Oct 1985	1985	2016;2016;2016;2015;2015;2015;2015;None;2014;2014;2014;2013;2013;2013;2012;2012;2012;2011;2011;2010;2010;2010;2010;2009;2009;2009;2008;2008;2007;2007;2007;2006;2005;2003	2003	None	FB Final,5,LM4-;FA Final,6,LM4-;FB Final,4,LM1x;FA Final,5,LM4-;FA Final,6,LM4-;FA Final,5,LM4-;FA Final,5,LM4-;FA Final,2,LM4-;FA Final,6,LM4-;FB Final,3,LM4-;R1 Repechage,0,LM4-;FB Final,6,LM4-;FA Final,3,LM4-;FB Final,3,LM4-;FA Final,6,LM4-;FA Final,2,LM4-;FA Final,4,LM4-;SC/D 1 Semifinal,0,LM4-;FA Final,5,LM4-;FA Final,5,LM4-;FB Final,3,LM4-;FA Final,6,LM4-;FA Final,5,LM4-;FA Final,6,LM4-;FB Final,1,LM4-;FA Final,5,LM1x;FA Final,3,LM1x;FA Final,2,LM1x;FB Final,2,LM2-;FA Final,2,BLM1x;FA Final,5,LM1x;FB Final,4,BLM4x;FA Final,5,BLM2x;FC Final,4,JM4x
Francisca KIEZEBRINK	NED	W	13 Aug 1985	1985	2003	2003	2003	FA Final,5,JW4x
Katie STEENMAN	NED	W	2 Apr 1987	1987	2008;2007;2007;2006;2005;2004;2003	2003	2008	FA Final,6,BW2x;FA Final,5,BW4x;FA Final,6,W4x;FA Final,3,BW2x;FB Final,2,JW4x;FB Final,1,JW2x;FA Final,5,JW4x
Merel STEINWEG	NED	W	25 Mar 1985	1985	2006;2003	2003	2006	FA Final,4,BW4x;FA Final,1,JW2-
Hilko SWANK	NED	M	18 Feb 1986	1986	2008;2006;2004;2003	2003	2008	FB Final,3,BM8+;FB Final,5,BM8+;FA Final,3,JM4x;FC Final,4,JM4x
Guido VAN APELDOORN	NED	M	13 Mar 1985	1985	2003	2003	2003	FC Final,4,JM4x
Teun VAN DER KROEF	NED	M	11 Sep 1985	1985	2007;2003	2003	2007	FB Final,4,BM8+;FB Final,3,JM4-
Adriaan VAN DER ZEE	NED	M	13 Apr 1985	1985	2003	2003	2003	FC Final,4,JM4x
Florian VAN 'T HOFF	NED	M	28 Aug 1985	1985	2003	2003	2003	FB Final,3,JM4-
Synnoeve FLESLAND	NOR	W	22 Dec 1985	1985	2003	2003	2003	FB Final,5,JW2x
Morten HOLT	NOR	M	10 Mar 1986	1986	2003	2003	2003	FC Final,6,JM4x
Lise KROHN-HANSEN	NOR	W	12 Apr 1985	1985	2003	2003	2003	FB Final,5,JW2x
Peder MYHRE	NOR	M	30 Jan 1985	1985	2003	2003	2003	FC Final,6,JM4x
Svein Urban RINGSTAD	NOR	M	10 Aug 1985	1985	2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2007;2006;2005;2003	2003	2012	FC Final,2,LM2x;FC Final,1,LM1x;FB Final,1,LM2x;FA Final,6,LM1x;FB Final,3,LM2x;FB Final,3,LM2x;FA Final,4,LM1x;FC Final,4,LM2x;FB Final,3,LM1x;FC Final,4,LM1x;FB Final,4,LM2x;FB Final,4,BLM2x;FB Final,5,BLM1x;FC Final,5,BLM1x;FC Final,6,JM4x
Sophie AUBREY	NZL	W	23 Nov 1986	1986	2004;2003	2003	2004	FB Final,3,JW8+;FA Final,6,JW8+
Charlotte BAXTER	NZL	W	8 Nov 1985	1985	2003	2003	2003	FA Final,6,JW8+
Hamish BOND	NZL	M	13 Feb 1986	1986	2016;2016;2016;2015;2015;2014;2014;2014;2013;2013;2013;2012;2012;2012;2011;2011;2011;2010;2010;2010;2010;2009;2009;2009;2008;2008;2008;2007;2007;2007;2006;2006;2006;2005;2004;2003	2003	2016	FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FB Final,1,M4-;FA Final,5,M4-;FA Final,6,M4-;FA Final,1,M4-;FA Final,3,M4-;FA Final,1,M4-;FB Final,3,M4-;FA Final,5,M4-;FA Final,3,M4-;FB Final,5,BM4-;FB Final,2,JM8+;FA Final,6,JM8+
Nathan COHEN	NZL	M	2 Jan 1986	1986	2013;2013;2013;2013;2012;2012;2012;2011;2011;2011;2010;2010;2010;2009;2009;2009;2008;2008;2008;2007;2007;2007;2006;2004;2003	2003	2013	H3 Heat,5,M4x;FB Final,5,M4x;FB Final,3,M4x;FA Final,2,M4x;FA Final,1,M2x;FA Final,2,M2x;FB Final,6,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,3,M2x;FB Final,1,M2x;FA Final,4,M2x;FA Final,4,M2x;FA Final,2,M2x;FA Final,4,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,6,M2x;FA Final,4,M2x;FA Final,5,M2x;FA Final,2,BM1x;FA Final,2,JM1x;FA Final,2,JM1x
Amanda GRIGG	NZL	W	7 Oct 1986	1986	2003	2003	2003	FA Final,6,JW8+
Mathew JENSEN	NZL	M	3 Sep 1985	1985	2003	2003	2003	FA Final,6,JM8+
Gerhardus KEMP	NZL	M	18 Mar 1986	1986	2004;2003	2003	2004	FB Final,2,JM8+;FA Final,6,JM8+
Eli KHRAPKO	NZL	M	26 Aug 1986	1986	2003	2003	2003	FA Final,6,JM8+
Rosslyn KNOX	NZL	W	24 Jan 1986	1986	2008;2007;2006;2003	2003	2008	FA Final,5,BW4x;FB Final,4,BW4x;FA Final,5,BW4x;FA Final,6,JW8+
Mary LISTER	NZL	W	8 Feb 1985	1985	2003	2003	2003	FA Final,6,JW8+
Alex MAMO	NZL	M	20 Apr 1985	1985	2003	2003	2003	FA Final,6,JM8+
Kiel MANS	NZL	M	17 Mar 1987	1987	2005;2003	2003	2005	FA Final,5,JM8+;FC Final,5,JM2-
Hayley MCINNARNEY	NZL	W	9 Aug 1986	1986	2004;2003	2003	2004	FB Final,3,JW8+;FB Final,3,JW2-
Jaime NIELSEN	NZL	W	3 Sep 1985	1985	2007;2006;2005;2004;2003	2003	2007	FB Final,1,W8+;FA Final,4,BW2x;FB Final,5,BW2x;FA Final,1,BW4x;FA Final,6,JW8+
Rebecca PIERCE	NZL	W	18 Dec 1986	1986	2004;2003	2003	2004	FB Final,3,JW8+;FA Final,6,JW8+
Bradley PORTER	NZL	M	3 Nov 1986	1986	2004;2003	2003	2004	FB Final,2,JM8+;FA Final,6,JM8+
Benjamin SCOTT	NZL	M	1 Oct 1985	1985	2007;2007;2007;2003	2003	2007	FC Final,1,M8+;FB Final,4,M8+;FB Final,6,M8+;FA Final,6,JM8+
Erin TOLHURST	NZL	W	6 May 1986	1986	2008;2008;2007;2007;2007;2006;2006;2006;2004;2003	2003	2008	FB Final,2,W8+;FB Final,2,W8+;FB Final,3,W8+;FA Final,5,W8+;FB Final,1,W8+;FB Final,1,W8+;FA Final,5,W8+;FB Final,2,W8+;FB Final,3,JW8+;FA Final,6,JW8+
Emma TWIGG	NZL	W	1 Mar 1987	1987	2016;2016;2016;2014;2014;2014;2014;2013;2013;2013;2012;2012;2012;2011;2011;2011;2010;2010;2010;2009;2009;2009;2008;2008;2008;2008;2007;2007;2006;2006;2006;2005;2005;2004;2003	2003	2016	FA Final,4,W1x;FA Final,2,W1x;FA Final,1,W1x;FA Final,1,W1x;FA Final,1,W1x;FA Final,1,W1x;FA Final,1,W1x;FA Final,2,W1x;FA Final,4,W1x;FA Final,1,W1x;FA Final,4,W1x;FA Final,2,W1x;FA Final,5,W1x;FA Final,3,W1x;FA Final,1,W1x;FA Final,2,W1x;FA Final,3,W1x;FB Final,1,W1x;FA Final,2,W1x;FA Final,4,W1x;FA Final,2,W1x;FA Final,2,W1x;FB Final,3,W1x;FA Final,3,W1x;FA Final,5,W1x;FA Final,3,W1x;FA Final,6,W1x;FA Final,1,BW1x;FB Final,1,W8+;FA Final,5,W8+;FB Final,2,W8+;FA Final,1,JW1x;FA Final,4,BW1x;FB Final,3,JW8+;FA Final,6,JW8+
Campbell WINTER	NZL	M	23 May 1985	1985	2005;2003	2003	2005	FB Final,5,BM4-;FC Final,5,JM2-
Jacek BILICKI	POL	M	13 Apr 1986	1986	2004;2003	2003	2004	FB Final,1,JM4-;FB Final,5,JM4-
Jakub KRUK DAMIAN	POL	M	10 Aug 1985	1985	2003	2003	2003	FB Final,5,JM4-
Milosz MACIEJEWSKI	POL	M	17 Aug 1985	1985	2003	2003	2003	FB Final,6,JM4x
Katarzyna PAWLOWSKA	POL	W	2 Jul 1985	1985	2004;2003	2003	2004	FA Final,6,BW2-;FA Final,4,JW4-
Olga PINSKA	POL	W	22 Aug 1985	1985	2005;2004;2003	2003	2005	FB Final,2,BW2-;FB Final,4,BW4-;FA Final,3,JW2-
Tomasz RATAJCZYK	POL	M	22 Oct 1986	1986	2004;2003	2003	2004	FB Final,1,JM4-;FB Final,5,JM4-
Maciej RYGIELSKI	POL	M	28 Aug 1986	1986	2003	2003	2003	FB Final,5,JM4-
Artur SAKOWSKI	POL	M	11 Aug 1985	1985	2007;2006;2003	2003	2007	FA Final,5,BM8+;FA Final,6,BM8+;FA Final,6,JM2-
Anna SPECJALSKA	POL	W	14 Apr 1985	1985	2005;2004;2003	2003	2005	FB Final,2,BW2-;FB Final,4,BW4-;FA Final,3,JW2-
Ricardo SANTOS LOPES	POR	M	10 Jun 1985	1985	2004;2004;2003	2003	2004	FB Final,5,BM2x;FC Final,5,M2x;FB Final,6,JM2x
Andreea AIROAIE	ROU	W	9 Feb 1986	1986	2004;2003	2003	2004	FA Final,1,JW8+;FA Final,1,JW8+
Florin APETROAE	ROU	M	10 Mar 1985	1985	2005;2005;2004;2003	2003	2005	FB Final,1,BM2x;FA Final,3,M2x;FB Final,3,BM4x;FA Final,3,JM2x
Camelia BURCA	ROU	W	15 Jul 1986	1986	2004;2003	2003	2004	FA Final,3,JW4x;FA Final,3,JW4-
Georgian CIOTIRCA	ROU	M	4 Sep 1985	1985	2003	2003	2003	FB Final,1,JM8+
Ionut COGEANU	ROU	M	9 Sep 1985	1985	2003	2003	2003	FB Final,1,JM8+
Roxana COGIANU	ROU	W	21 Sep 1986	1986	2016;2016;2016;2015;2015;2015;2014;2014;2013;2013;2013;2012;2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2009;2009;2009;2009;2008;2008;2008;2008;2007;2007;2007;2007;2006;2006;2006;2006;2005;2004;2003	2003	2016	FA Final,3,W8+;FA Final,1,W8+;FA Final,4,W8+;FB Final,1,W8+;FA Final,4,W8+;FA Final,3,W8+;FA Final,4,W8+;FA Final,1,W8+;FA Final,2,W8+;FA Final,2,W8+;F Final,1,W8+;FA Final,1,W8+;FA Final,4,W8+;FA Final,2,W8+;F Final,2,W4x;FA Final,2,W8+;F Final,1,W8+;FA Final,4,W8+;FA Final,5,W8+;FA Final,3,W8+;FA Final,3,W8+;FA Final,1,W8+;FA Final,1,W8+;FA Final,1,W8+;FA Final,2,W8+;FA Final,1,W8+;FA Final,3,W8+;FA Final,3,W4x;FB Final,4,W2x;FA Final,1,BW4x;FB Final,2,W4x;FA Final,2,W4x;FB Final,2,W4x;FA Final,3,W4x;FB Final,1,W2x;FA Final,1,BW4x;FA Final,6,W4x;FA Final,5,W4x;FA Final,6,W4x;FA Final,1,BW4x;FA Final,3,JW4x;FA Final,1,JW4x
Daniel FRATEANU	ROU	M	26 Oct 1986	1986	2007;2006;2006;2006;2006;2006;2005;2005;2005;2004;2003	2003	2007	FC Final,3,M1x;FC Final,5,M1x;FA Final,3,BM1x;FD Final,1,M1x;FB Final,4,M1x;FC Final,2,M1x;FC Final,1,M4x;FB Final,1,BM2x;FA Final,3,M2x;FA Final,1,JM1x;FA Final,3,JM2x
Camelia LUPASCU	ROU	W	29 Jul 1986	1986	2013;2013;2013;2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2009;2009;2009;2009;2008;2008;2008;2007;2007;2007;2007;2006;2006;2006;2006;2006;2005;2005;2005;2005;2004;2003	2003	2013	FA Final,2,W8+;FA Final,2,W8+;F Final,1,W8+;FA Final,3,W4x;FA Final,4,W8+;FA Final,2,W8+;FA Final,2,W8+;F Final,3,W4x;FA Final,5,W2-;FA Final,5,W2-;FA Final,5,W2-;FA Final,3,W8+;FA Final,1,W8+;FA Final,1,W8+;FA Final,1,W8+;FA Final,2,W8+;FA Final,1,W8+;FA Final,3,W8+;FA Final,1,W8+;FA Final,1,BW4x;FB Final,2,W4x;FA Final,2,W4x;FB Final,2,W4x;FA Final,3,W4x;FA Final,5,W4x;FA Final,6,W8+;FA Final,4,BW8+;FA Final,1,W8+;FA Final,1,W8+;FA Final,2,W8+;FA Final,2,W8+;FA Final,4,BW2x;FA Final,1,W8+;FA Final,6,W2x;FA Final,2,JW1x;FA Final,1,JW4x
Andreea MOLDOVANU	ROU	W	30 Nov 1985	1985	2004;2003	2003	2004	FB Final,1,BW4-;FA Final,1,JW8+
Ciprian NITA	ROU	M	28 Feb 1986	1986	2004;2003	2003	2004	FA Final,1,JM2-;FB Final,1,JM8+
Andreea OACHESU	ROU	W	16 Jun 1985	1985	2004;2003	2003	2004	FB Final,1,BW2x;FA Final,3,JW4-
Adriana OANCEA	ROU	W	6 Oct 1986	1986	2005;2005;2004;2003	2003	2005	FB Final,1,W4x;FA Final,1,BW4x;FA Final,3,JW4x;FA Final,1,JW4x
Alina ORMENISAN	ROU	W	3 Oct 1985	1985	2004;2003	2003	2004	FB Final,1,BW4-;FA Final,3,JW4-
Gheorghe OROS	ROU	M	29 Apr 1986	1986	2009;2008;2008;2007;2007;2007;2007;2006;2006;2006;2005;2004;2003	2003	2009	FA Final,6,M8+;FB Final,6,BM4x;FB Final,6,M4x;FA Final,6,M8+;FD Final,3,M4-;FB Final,6,BM4x;FC Final,3,M4-;FB Final,6,M4x;FA Final,2,BM4x;FB Final,1,M8+;FA Final,1,BM8+;FA Final,1,JM4-;FA Final,3,JM4-
Ramona POLOSANU	ROU	W	7 Mar 1985	1985	2003	2003	2003	FA Final,1,JW8+
Cristian SIRBU	ROU	M	26 Feb 1986	1986	2008;2008;2007;2007;2006;2006;2005;2004;2003	2003	2008	FB Final,1,M8+;FC Final,1,BM2-;FB Final,5,M4-;FA Final,4,BM4-;FA Final,4,BM8+;FB Final,2,M8+;FA Final,3,BM4+;FA Final,1,JM8+;FB Final,1,JM8+
Liviu STANESCU	ROU	M	29 Jan 1985	1985	2003	2003	2003	FB Final,1,JM8+
Mihaela TALPALARIU	ROU	W	10 Aug 1985	1985	2003	2003	2003	FA Final,1,JW8+
Catalin TODIRENCHI	ROU	M	19 Apr 1985	1985	2009;2007;2006;2003	2003	2009	FA Final,6,M8+;FA Final,4,BM4-;FA Final,4,BM4+;FB Final,1,JM8+
Anca TUCA	ROU	W	15 Sep 1985	1985	2003	2003	2003	FA Final,3,JW4-
Tiberiu ZAHARIA	ROU	M	23 Aug 1985	1985	2003	2003	2003	FB Final,1,JM8+
Ryan ANDERSON	RSA	M	23 Jul 1986	1986	2004;2003	2003	2004	FD Final,1,JM2x;FB Final,2,JM4x
Philip BRIERLEY	RSA	M	7 May 1985	1985	2003	2003	2003	FB Final,3,JM8+
Brendan COLE	RSA	M	28 May 1986	1986	2004;2003	2003	2004	FA Final,4,JM4+;FA Final,3,JM4+
Wesley FERREIRA	RSA	M	30 May 1985	1985	2003	2003	2003	FB Final,3,JM8+
Graham HOOD	RSA	M	19 Mar 1986	1986	2003	2003	2003	FB Final,3,JM8+
Sean IRWIN	RSA	M	4 Jul 1986	1986	2006;2004;2003	2003	2006	FB Final,2,BM4-;FA Final,4,JM4+;FA Final,3,JM4+
Anthony LESTER	RSA	M	15 Feb 1986	1986	2003	2003	2003	FB Final,3,JM8+
Benjamin LOVELACE	RSA	M	5 Feb 1987	1987	2004;2003	2003	2004	FA Final,4,JM4+;FA Final,3,JM4+
John LUCK	RSA	M	10 May 1986	1986	2006;2004;2003	2003	2006	FB Final,2,BM4-;FA Final,4,JM4+;FA Final,3,JM4+
Christopher MADELEY	RSA	M	2 Mar 1985	1985	2003	2003	2003	FB Final,2,JM4x
Thamsanqa MAVUYA	RSA	M	15 Aug 1986	1986	2003	2003	2003	FB Final,3,JM8+
Barrie-Jon MULDER	RSA	M	4 Mar 1985	1985	2003	2003	2003	FB Final,3,JM8+
Brett PACHONICK	RSA	M	13 Jan 1987	1987	2004;2003	2003	2004	FC Final,1,JM4-;FB Final,3,JM8+
Selwyn PEARTON	RSA	M	18 Sep 1985	1985	2003	2003	2003	FB Final,3,JM8+
Andrew POLASEK	RSA	M	6 May 1985	1985	2011;2011;2010;2010;2009;2007;2006;2003	2003	2011	FB Final,6,LM2-;FB Final,2,LM4-;FC Final,2,LM4-;FB Final,4,LM4-;FB Final,6,LM2x;FD Final,5,LM2x;FB Final,6,BLM1x;FB Final,3,JM8+
Scott QUY	RSA	M	5 Sep 1986	1986	2004;2003	2003	2004	FC Final,1,JM4-;FB Final,2,JM4x
Warren STRONG	RSA	M	20 Apr 1985	1985	2003	2003	2003	FB Final,2,JM4x
